FIPS,State,County,Average Life Expectancy (years),Days of Poor Physical Health (days/month),Days of Poor Mental Health (days/month),Students Graduating from High School (%),Some College (%),Children in Poverty (%),Limited Access to Healthy Foods (%),Physically Inactive (%),Insufficient Sleep (%),"Primary Care Doctor Rate (doctors/100,000)","Mental Health Providers (providers/ 100,000)",Median Household Income ($),Income Level,Homeowners (%),Rural Living (%),Non-Hispanic Black (%),Asian (%),Hispanic (%),% American Indian or Alaska Native,% Native Hawaiian or Other Pacific Islander,Non-Hispanic White (%),Population,"Motor Vehicle Death Rate (deaths/100,000 people)","Drug Overdose Death Rate (deaths/100,000 people)",Broadband Access (%),Teen Birth Rate (births/per teens),"Firearm Death Rate (deaths/ 100,000 people)",Severe Housing Problems (%),Not Proficient in English (%),Air Pollution (fine particulate matter in micrograms/cubic meter of air),Smokers (%),Youth Not in School or Employment (%)
1001,Alabama,Autauga,74.800645825,4.3003635569,5.832900762,83.0,61.378732185,17.0,13.020997971,25.7,37.7,26.0,36.45885,68857,High,74.910091906,40.676813196,20.990354977,1.3092042027,3.8530376852,0.4955089324,0.1392065228,71.363229591,15507,17.866624391,10.857204898,90.880433335,19.846153846,17.453895535,13.520933425,0.3920866529,9.3,15.4,
1003,Alabama,Baldwin,76.580109234,3.8764361413,6.020777623,86.733890215,64.847875283,14.1,7.936779358,23.8,36.4,150.0,120.70673,74248,High,77.535343716,37.586455362,8.2214692296,1.1514474945,5.7820888575,0.8488917466,0.0694260908,82.267945264,55678,15.024124179,31.607684304,89.750850574,18.970019847,14.961877482,11.96811561,0.8369341134,7.8,14.7,8.0544576197
1005,Alabama,Barbour,72.708991709,5.4310302942,6.3399860323,75.162790698,44.077431249,34.8,10.433171672,34.9,44.6,10.0,28.47265,45298,Low,67.488986784,65.919993657,46.483628229,0.581655481,6.2111043319,0.8297742526,0.3050640635,44.763066911,6509,25.705325572,16.159657415,72.301762115,35.930645498,26.650299614,13.806380638,1.6169739488,8.8,21.9,
1007,Alabama,Bibb,72.977378514,5.0556189336,6.5659451695,91.0,43.533225284,21.4,0.4458662133,32.2,41.4,15.0,36.58314,56025,High,77.17606657,100.0,20.367660509,0.2972379733,3.6125845985,0.5944759466,0.1463325407,73.705871593,6170,24.24660069,27.019724399,81.151763307,29.232333503,21.541665171,11.926605505,0.6925010672,8.6,21.8,
1009,Alabama,Blount,72.936172299,4.8024000348,6.4487020436,93.850983359,52.627112651,16.6,2.5122060181,29.7,37.6,12.0,28.42049,64962,High,79.505847022,90.489396963,1.8255985021,0.4430252775,10.515581115,0.641968704,0.13374348,85.448709375,14141,32.36761767,23.805205405,83.928652682,23.082358483,18.144595307,10.258215962,1.7890687897,8.8,19.5,5.4830287206
1011,Alabama,Bullock,70.96745637,5.8141217665,6.5114628472,82.5,36.313868613,39.8,32.339190387,39.9,50.5,2.0,20.20814,36204,Low,63.509991312,100.0,69.920177832,0.343538446,6.1735879559,0.7881176114,0.5860361726,22.299686774,2740,54.61572933,,64.986967854,35.938391329,29.564223348,12.719298246,1.8636127017,8.4,24.9,
1013,Alabama,Butler,71.541917066,5.2460762338,6.2540225973,76.0,41.576649046,37.4,6.9182869438,34.3,43.6,5.0,87.04167,44729,Low,68.410906086,69.434675345,44.674137743,1.4851485149,1.7517136329,0.5168099228,0.059841149,50.331846371,4351,38.238386928,21.038605842,79.757642523,34.91807682,28.076451137,9.8774885145,0.1634631644,8.4,20.4,
1015,Alabama,Calhoun,70.813154873,4.9712460628,6.5870060371,92.085691188,54.149051396,28.5,15.398072995,28.5,42.8,68.0,163.18958,51841,Low,70.386703601,36.49401843,22.028875967,0.9009782786,4.7582646935,0.5282189145,0.1365639145,69.693117694,28621,21.932830706,33.60088521,85.338504155,24.507465972,23.904618826,12.371599503,0.4305115974,8.9,18.0,7.3282855598
1017,Alabama,Chambers,71.861783224,4.8482805596,6.3401671944,82.604166667,52.516491571,26.0,8.1029884513,33.7,42.6,14.0,14.67179,50390,Low,70.988896341,50.74485218,39.123800581,0.8920449544,4.1315766308,0.451891194,0.0557528096,54.364858124,8186,27.975703525,11.823359016,78.761457635,28.806584362,26.134008066,15.2,0.2987833051,8.9,20.9,
1019,Alabama,Cherokee,72.395529183,4.8918141448,6.138263801,93.0,50.10112153,20.5,5.0086522515,26.9,37.4,11.0,66.23549,56400,High,79.450224301,100.0,4.2234863243,0.4324787657,1.9169329073,0.8220992753,0.0506506663,90.851710434,5439,31.041784459,19.584290788,80.232891095,26.613704071,23.288309269,8.5139318885,0.9606587374,8.4,17.6,
